STATIONID	YEAR	MONTH	DAY	HOUR	MINUTE	PRECIPITATION
STABG	1999	9	30	0	0	0
STABG	1999	10	1	0	0	0
STABG	1999	10	2	0	0	0.01
STABG	1999	10	3	0	0	0
STABG	1999	10	4	0	0	0.07
STABG	1999	10	5	0	0	0.95
STABG	1999	10	6	0	0	0.01
STABG	1999	10	7	0	0	0.06
STABG	1999	10	8	0	0	0.13
STABG	1999	10	9	0	0	1.24
STABG	1999	10	10	0	0	0.02
STABG	1999	10	11	0	0	0.06
STABG	1999	10	12	0	0	0.19
STABG	1999	10	13	0	0	0.03
STABG	1999	10	14	0	0	0.01
STABG	1999	10	15	0	0	0.34
STABG	1999	10	16	0	0	3.28
STABG	1999	10	17	0	0	0.01
STABG	1999	10	18	0	0	0
STABG	1999	10	19	0	0	0
STABG	1999	10	20	0	0	0
STABG	1999	10	21	0	0	1.12
STABG	1999	10	22	0	0	0.07
STABG	1999	10	23	0	0	0
STABG	1999	10	24	0	0	0
STABG	1999	10	25	0	0	0
STABG	1999	10	26	0	0	0
STABG	1999	10	27	0	0	0.02
STABG	1999	10	28	0	0	0
STABG	1999	10	29	0	0	0
STABG	1999	10	30	0	0	0.03
STABG	1999	10	31	0	0	0
STABG	1999	11	1	0	0	0.97
STABG	1999	11	2	0	0	0.27
STABG	1999	11	3	0	0	0.01
STABG	1999	11	4	0	0	0
STABG	1999	11	5	0	0	0
STABG	1999	11	6	0	0	0
STABG	1999	11	7	0	0	0
STABG	1999	11	8	0	0	0
STABG	1999	11	9	0	0	0
STABG	1999	11	10	0	0	0
STABG	1999	11	11	0	0	0
STABG	1999	11	12	0	0	0
STABG	1999	11	13	0	0	0
STABG	1999	11	14	0	0	0
STABG	1999	11	15	0	0	0
STABG	1999	11	16	0	0	0
STABG	1999	11	17	0	0	0
STABG	1999	11	18	0	0	0
STABG	1999	11	19	0	0	0
STABG	1999	11	20	0	0	0
STABG	1999	11	21	0	0	0
STABG	1999	11	22	0	0	0.47
STABG	1999	11	23	0	0	0
STABG	1999	11	24	0	0	0
STABG	1999	11	25	0	0	0.05
STABG	1999	11	26	0	0	0.02
STABG	1999	11	27	0	0	0
STABG	1999	11	28	0	0	0
STABG	1999	11	29	0	0	0
STABG	1999	11	30	0	0	0
STABG	1999	12	1	0	0	0.02
STABG	1999	12	2	0	0	0
STABG	1999	12	3	0	0	0
STABG	1999	12	4	0	0	0
STABG	1999	12	5	0	0	0
STABG	1999	12	6	0	0	0.04
STABG	1999	12	7	0	0	0
STABG	1999	12	8	0	0	0
STABG	1999	12	9	0	0	0
STABG	1999	12	10	0	0	0
STABG	1999	12	11	0	0	0
STABG	1999	12	12	0	0	0.01
STABG	1999	12	13	0	0	0.02
STABG	1999	12	14	0	0	0
STABG	1999	12	15	0	0	0.09
STABG	1999	12	16	0	0	0
STABG	1999	12	17	0	0	0.05
STABG	1999	12	18	0	0	0.23
STABG	1999	12	19	0	0	0.1
STABG	1999	12	20	0	0	0
STABG	1999	12	21	0	0	0
STABG	1999	12	22	0	0	0.01
STABG	1999	12	23	0	0	0
STABG	1999	12	24	0	0	0
STABG	1999	12	25	0	0	0
STABG	1999	12	26	0	0	0
STABG	1999	12	27	0	0	0
STABG	1999	12	28	0	0	0.01
STABG	1999	12	29	0	0	0.16
STABG	1999	12	30	0	0	0
STABG	1999	12	31	0	0	0
STABG	2000	1	1	0	0	0
STABG	2000	1	2	0	0	0
STABG	2000	1	3	0	0	0
STABG	2000	1	4	0	0	0
STABG	2000	1	5	0	0	0
STABG	2000	1	6	0	0	0
STABG	2000	1	7	0	0	0
STABG	2000	1	8	0	0	0.01
STABG	2000	1	9	0	0	0
STABG	2000	1	10	0	0	0
STABG	2000	1	11	0	0	0
STABG	2000	1	12	0	0	0
STABG	2000	1	13	0	0	0
STABG	2000	1	14	0	0	0
STABG	2000	1	15	0	0	0
STABG	2000	1	16	0	0	0.01
STABG	2000	1	17	0	0	0
STABG	2000	1	18	0	0	0
STABG	2000	1	19	0	0	0
STABG	2000	1	20	0	0	0
STABG	2000	1	21	0	0	0
STABG	2000	1	22	0	0	0
STABG	2000	1	23	0	0	0
STABG	2000	1	24	0	0	0.71
STABG	2000	1	25	0	0	0.07
STABG	2000	1	26	0	0	0
STABG	2000	1	27	0	0	0
STABG	2000	1	28	0	0	0
STABG	2000	1	29	0	0	0.05
STABG	2000	1	30	0	0	0
STABG	2000	1	31	0	0	0
STABG	2000	2	1	0	0	0
STABG	2000	2	2	0	0	0
STABG	2000	2	3	0	0	0
STABG	2000	2	4	0	0	0
STABG	2000	2	5	0	0	0
STABG	2000	2	6	0	0	0
STABG	2000	2	7	0	0	0
STABG	2000	2	8	0	0	0
STABG	2000	2	9	0	0	0.76
STABG	2000	2	10	0	0	0
STABG	2000	2	11	0	0	0
STABG	2000	2	12	0	0	0
STABG	2000	2	13	0	0	0
STABG	2000	2	14	0	0	0
STABG	2000	2	15	0	0	0
STABG	2000	2	16	0	0	0
STABG	2000	2	17	0	0	0
STABG	2000	2	18	0	0	0
STABG	2000	2	19	0	0	0
STABG	2000	2	20	0	0	0
STABG	2000	2	21	0	0	0
STABG	2000	2	22	0	0	0
STABG	2000	2	23	0	0	0
STABG	2000	2	24	0	0	0
STABG	2000	2	25	0	0	0.03
STABG	2000	2	26	0	0	0
STABG	2000	2	27	0	0	0
STABG	2000	2	28	0	0	0
STABG	2000	2	29	0	0	0
STABG	2000	3	1	0	0	0
STABG	2000	3	2	0	0	0
STABG	2000	3	3	0	0	0
STABG	2000	3	4	0	0	0
STABG	2000	3	5	0	0	0
STABG	2000	3	6	0	0	0
STABG	2000	3	7	0	0	0
STABG	2000	3	8	0	0	0
STABG	2000	3	9	0	0	0
STABG	2000	3	10	0	0	0
STABG	2000	3	11	0	0	0.02
STABG	2000	3	12	0	0	0.16
STABG	2000	3	13	0	0	0
STABG	2000	3	14	0	0	0
STABG	2000	3	15	0	0	0
STABG	2000	3	16	0	0	0
STABG	2000	3	17	0	0	0
STABG	2000	3	18	0	0	0
STABG	2000	3	19	0	0	0.4
STABG	2000	3	20	0	0	1.26
STABG	2000	3	21	0	0	0
STABG	2000	3	22	0	0	0
STABG	2000	3	23	0	0	0
STABG	2000	3	24	0	0	0
STABG	2000	3	25	0	0	0
STABG	2000	3	26	0	0	0
STABG	2000	3	27	0	0	0
STABG	2000	3	28	0	0	0.07
STABG	2000	3	29	0	0	0
STABG	2000	3	30	0	0	0.35
STABG	2000	3	31	0	0	0
STABG	2000	4	1	0	0	0
STABG	2000	4	2	0	0	0
STABG	2000	4	3	0	0	0
STABG	2000	4	4	0	0	0
STABG	2000	4	5	0	0	0
STABG	2000	4	6	0	0	0
STABG	2000	4	7	0	0	0
STABG	2000	4	8	0	0	0
STABG	2000	4	9	0	0	0.04
STABG	2000	4	10	0	0	0
STABG	2000	4	11	0	0	0
STABG	2000	4	12	0	0	0.11
STABG	2000	4	13	0	0	0.09
STABG	2000	4	14	0	0	0.95
STABG	2000	4	15	0	0	2.14
STABG	2000	4	16	0	0	0.34
STABG	2000	4	17	0	0	0
STABG	2000	4	18	0	0	0
STABG	2000	4	19	0	0	0
STABG	2000	4	20	0	0	0
STABG	2000	4	21	0	0	0
STABG	2000	4	22	0	0	0
STABG	2000	4	23	0	0	0
STABG	2000	4	24	0	0	0
STABG	2000	4	25	0	0	0
STABG	2000	4	26	0	0	0
STABG	2000	4	27	0	0	0.6
STABG	2000	4	28	0	0	2
STABG	2000	4	29	0	0	0
STABG	2000	4	30	0	0	0
STABG	2000	5	1	0	0	0
STABG	2000	5	2	0	0	0
STABG	2000	5	3	0	0	0
STABG	2000	5	4	0	0	0
STABG	2000	5	5	0	0	0
STABG	2000	5	6	0	0	0
STABG	2000	5	7	0	0	0
STABG	2000	5	8	0	0	0
STABG	2000	5	9	0	0	2.02
STABG	2000	5	10	0	0	0
STABG	2000	5	11	0	0	0
STABG	2000	5	12	0	0	0
STABG	2000	5	13	0	0	0
STABG	2000	5	14	0	0	0
STABG	2000	5	15	0	0	0
STABG	2000	5	16	0	0	0.44
STABG	2000	5	17	0	0	0
STABG	2000	5	18	0	0	0
STABG	2000	5	19	0	0	0
STABG	2000	5	20	0	0	0
STABG	2000	5	21	0	0	0
STABG	2000	5	22	0	0	0
STABG	2000	5	23	0	0	0
STABG	2000	5	24	0	0	0.21
STABG	2000	5	25	0	0	0
STABG	2000	5	26	0	0	0
STABG	2000	5	27	0	0	0.1
STABG	2000	5	28	0	0	0
STABG	2000	5	29	0	0	0
STABG	2000	5	30	0	0	0
STABG	2000	5	31	0	0	0
STABG	2000	6	1	0	0	0
STABG	2000	6	2	0	0	0
STABG	2000	6	3	0	0	0
STABG	2000	6	4	0	0	0
STABG	2000	6	5	0	0	0
STABG	2000	6	6	0	0	0
STABG	2000	6	7	0	0	0
STABG	2000	6	8	0	0	0.08
STABG	2000	6	9	0	0	0.02
STABG	2000	6	10	0	0	0
STABG	2000	6	11	0	0	0.66
STABG	2000	6	12	0	0	0.89
